Tw_K,P_atm,Bg,Bc
300,0.001,0,8.742740e-02
325,0.001,0,8.742740e-02
350,0.001,0,8.742740e-02
375,0.001,0,8.742750e-02
400,0.001,0,8.742810e-02
425,0.001,0,8.743050e-02
450,0.001,0,8.743950e-02
475,0.001,0,8.746820e-02
500,0.001,0,8.754990e-02
525,0.001,0,8.775820e-02
550,0.001,0,8.824230e-02
575,0.001,0,8.927820e-02
600,0.001,0,9.133150e-02
625,0.001,0,9.510760e-02
650,0.001,0,1.015200e-01
675,0.001,0,1.114260e-01
700,0.001,0,1.249220e-01
725,0.001,0,1.403370e-01
750,0.001,0,1.542730e-01
775,0.001,0,1.640120e-01
800,0.001,0,1.695160e-01
825,0.001,0,1.722670e-01
850,0.001,0,1.735820e-01
875,0.001,0,1.742110e-01
900,0.001,0,1.745180e-01
925,0.001,0,1.746730e-01
950,0.001,0,1.747530e-01
975,0.001,0,1.747970e-01
1000,0.001,0,1.748200e-01
1025,0.001,0,1.748340e-01
1050,0.001,0,1.748420e-01
1075,0.001,0,1.748470e-01
1100,0.001,0,1.748490e-01
1125,0.001,0,1.748510e-01
1150,0.001,0,1.748520e-01
1175,0.001,0,1.748530e-01
1200,0.001,0,1.748540e-01
1225,0.001,0,1.748540e-01
1250,0.001,0,1.748540e-01
1275,0.001,0,1.748540e-01
1300,0.001,0,1.748550e-01
1325,0.001,0,1.748550e-01
1350,0.001,0,1.748550e-01
1375,0.001,0,1.748550e-01
1400,0.001,0,1.748550e-01
1425,0.001,0,1.748550e-01
1450,0.001,0,1.748550e-01
1475,0.001,0,1.748550e-01
1500,0.001,0,1.748550e-01
1525,0.001,0,1.748550e-01
1550,0.001,0,1.748550e-01
1575,0.001,0,1.748550e-01
1600,0.001,0,1.748550e-01
1625,0.001,0,1.748550e-01
1650,0.001,0,1.748550e-01
1675,0.001,0,1.748550e-01
1700,0.001,0,1.748550e-01
1725,0.001,0,1.748550e-01
1750,0.001,0,1.748550e-01
1775,0.001,0,1.748550e-01
1800,0.001,0,1.748550e-01
